,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
49,Cagliari,0,0.75,15,1,11,13.59,0.99,Empoli,2,1.15,17,5,5,9.00,1.70
50,Empoli,4,1.48,15,7,7,10.24,0.67,Bologna,2,2.50,20,5,9,7.07,2.12
51,Roma,2,1.86,18,7,11,12.00,2.48,Empoli,0,0.44,11,3,1,13.08,0.35
52,Salernitana,2,1.37,12,6,9,8.50,0.47,Empoli,4,2.83,11,6,6,10.12,2.37
53,Lazio,6,2.72,18,10,8,10.61,2.69,Spezia,1,0.74,5,2,1,53.67,0.19
54,AC Milan,2,3.48,21,3,11,12.67,2.98,Lazio,0,0.25,8,5,0,8.79,0.01
55,Lazio,2,1.73,28,10,14,6.56,1.20,Cagliari,2,1.92,10,3,6,13.79,1.56
56,Lazio,3,2.48,10,4,5,14.22,1.84,Roma,2,1.84,20,8,8,10.96,0.94
57,Bologna,3,0.78,10,3,3,13.76,1.14,Lazio,0,0.96,8,4,9,8.76,1.51
58,Bologna,3,1.73,18,7,9,2.61,1.43,Salernitana,2,1.64,10,4,5,13.36,1.30
59,Udinese,1,1.36,10,2,2,15.00,1.30,Bologna,1,1.50,23,11,10,9.00,1.43
60,Bologna,2,0.63,9,4,2,42.00,1.10,AC Milan,4,0.91,15,7,7,6.55,1.53
61,Salernitana,0,0.22,5,0,0,19.50,0.25,Roma,4,1.89,28,9,14,4.00,2.59
62,Spezia,2,1.68,18,5,9,8.25,1.41,Salernitana,1,1.61,15,4,7,9.70,1.29
63,Venezia,1,0.62,8,4,2,10.15,0.65,Salernitana,2,1.52,21,7,13,14.53,2.10
64,Udinese,2,2.09,12,6,3,19.06,1.84,Juventus,2,1.49,10,3,7,11.21,0.92
65,Udinese,3,3.02,21,10,9,30.25,2.66,Venezia,0,0.91,11,3,7,8.11,0.24
66,Spezia,0,0.79,19,6,10,7.74,1.30,Udinese,1,0.78,9,4,3,13.05,1.33
67,Udinese,0,0.24,9,1,2,24.82,0.02,Napoli,4,3.30,18,8,7,14.50,2.96
68,Roma,1,1.38,12,2,9,8.20,1.87,Udinese,0,0.81,8,3,4,16.44,0.81
69,Udinese,0,0.49,12,5,6,14.04,0.64,Fiorentina,1,1.14,8,2,5,8.88,2.06
70,Sampdoria,3,1.53,12,3,9,4.94,0.32,Udinese,3,3.28,18,7,6,10.74,2.55
71,Napoli,2,2.19,25,6,11,5.09,1.86,Juventus,1,1.56,8,4,2,23.62,0.88
72,Juventus,1,1.32,9,4,3,12.00,1.58,AC Milan,1,1.05,13,3,4,9.72,1.12
73,Spezia,2,1.03,10,5,2,17.41,0.47,Juventus,3,2.55,26,9,6,7.23,2.37
74,Juventus,3,2.63,16,6,7,8.48,2.72,Sampdoria,2,0.60,5,3,5,9.92,0.18
75,Juventus,1,1.47,6,2,1,15.45,1.37,Roma,0,1.46,15,4,1,15.35,1.31
76,Napoli,2,2.39,13,4,4,15.65,2.69,Venezia,0,0.61,8,4,5,16.41,0.20
77,Sampdoria,0,0.57,13,5,11,16.16,0.36,Napoli,4,2.11,17,9,8,17.43,2.48
78,Napoli,2,2.06,17,7,16,10.10,2.82,Cagliari,0,0.15,6,1,4,33.43,0.11
79,Fiorentina,1,0.38,10,3,7,8.43,0.29,Napoli,2,1.64,12,6,3,21.54,2.54
80,Roma,0,1.63,13,1,6,14.96,2.22,Napoli,0,0.59,11,3,5,6.54,0.55
81,Venezia,1,0.81,14,3,4,9.54,1.61,Spezia,2,0.48,12,3,5,15.93,1.00
82,AC Milan,2,2.11,15,4,12,6.57,2.54,Venezia,0,0.58,8,2,2,15.50,0.30
83,Cagliari,1,0.66,9,3,1,11.43,1.52,Venezia,1,0.49,10,4,8,13.80,1.07
84,Venezia,1,0.79,4,2,3,18.65,1.75,Fiorentina,0,0.43,10,2,6,8.92,0.86
85,Roma,3,2.75,11,6,7,16.00,2.62,Fiorentina,1,0.87,11,8,7,12.26,0.26
86,Fiorentina,3,3.12,21,5,8,12.50,2.95,Cagliari,0,0.12,3,1,3,19.91,0.03
87,Cagliari,2,3.29,20,9,10,6.70,2.74,Spezia,2,1.03,12,4,5,10.07,0.17
88,AC Milan,4,2.67,18,5,7,16.94,2.79,Cagliari,1,0.41,7,2,3,17.95,0.13
89,Cagliari,3,1.51,12,5,5,10.71,1.15,Sampdoria,1,1.79,17,3,9,5.86,1.58
90,Spezia,1,0.95,8,2,12,15.89,0.77,AC Milan,2,1.74,18,5,8,5.07,1.97
91,Sampdoria,2,0.97,6,2,6,14.78,1.28,Spezia,1,1.06,17,7,5,6.89,1.39
92,Sampdoria,0,1.25,17,3,6,8.21,1.76,AC Milan,1,0.80,11,4,5,7.54,0.94
93,Verona,2,1.58,12,5,9,11.15,1.20,Juventus,1,1.79,15,4,8,12.00,1.52
94,Bologna,2,1.74,8,3,7,16.44,2.52,Cagliari,0,0.40,9,2,1,21.11,0.32
95,Atalanta,2,0.72,17,3,7,8.84,0.69,Lazio,2,1.44,8,5,6,17.89,2.06
96,Salernitana,0,0.41,9,3,2,11.12,0.44,Napoli,1,1.54,18,3,15,9.21,2.34
97,Sassuolo,1,1.24,15,5,9,8.20,1.13,Empoli,2,1.48,14,6,6,9.63,1.57
