,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
317,cat317,1,,59,,,5,,4,,7,1,0,5,,5,2,,Benfica,,,22.01.2017 17:00,Primeira Liga - Round 18,cat317,2,,41,,,3,,10,,4,2,0,2,,3,1,,Tondela,,,22.01.2017 17:00,Primeira Liga - Round 18
318,cat318,1,,61,,,9,,8,,9,3,1,2,,7,2,,Belenenses,,1,22.01.2017 19:00,Primeira Liga - Round 18,cat318,2,,39,,,1,,10,,5,1,1,2,,1,4,,Vitoria Setubal,,1,22.01.2017 19:00,Primeira Liga - Round 18
319,cat319,1,,55,,,6,,11,,7,0,0,0,,6,1,,Belenenses,,,22.01.2017 19:00,Primeira Liga - Round 18,cat319,2,,45,,,2,,2,,6,1,1,2,,5,1,,Vitoria Setubal,,,22.01.2017 19:00,Primeira Liga - Round 18
320,cat320,1,,59,,,3,,12,,10,1,1,1,1,8,2,,Braga,,5,22.01.2017 21:15,Primeira Liga - Round 18,cat320,2,,41,,,3,,9,,1,1,0,1,0,0,1,,Vitoria Guimaraes,,2,22.01.2017 21:15,Primeira Liga - Round 18
321,cat321,1,,63,,,5,,8,,4,2,0,2,,3,1,,Braga,,1,22.01.2017 21:15,Primeira Liga - Round 18,cat321,2,,37,,,1,,9,,5,1,2,2,,1,4,,Vitoria Guimaraes,,2,22.01.2017 21:15,Primeira Liga - Round 18
322,cat322,1,,46,,,1,,6,,9,1,0,1,,6,3,,Chaves,,1,23.01.2017 21:00,Primeira Liga - Round 18,cat322,2,,54,,,4,,9,,4,3,0,1,,3,1,,Nacional,,1,23.01.2017 21:00,Primeira Liga - Round 18
323,cat323,1,,56,,,5,,7,,9,1,2,0,,6,3,,Chaves,,1,23.01.2017 21:00,Primeira Liga - Round 18,cat323,2,,44,,,1,,7,,5,1,0,1,,4,1,,Nacional,,0,23.01.2017 21:00,Primeira Liga - Round 18
324,cat324,1,,58,,,7,,10,,7,1,0,1,,6,1,,Boavista,,0,27.01.2017 21:30,Primeira Liga - Round 19,cat324,2,,42,,,1,,10,,4,1,1,1,,2,2,,Belenenses,,5,27.01.2017 21:30,Primeira Liga - Round 19
325,cat325,1,,48,,,0,,8,,4,1,0,0,,4,0,,Boavista,,1,27.01.2017 21:30,Primeira Liga - Round 19,cat325,2,,52,,,4,,11,,5,0,0,1,,4,1,,Belenenses,,1,27.01.2017 21:30,Primeira Liga - Round 19
326,cat326,1,,42,,,3,,8,,7,3,0,0,,6,1,,Tondela,,3,28.01.2017 12:45,Primeira Liga - Round 19,cat326,2,,58,,,3,,7,,8,1,0,0,,5,3,,Chaves,,1,28.01.2017 12:45,Primeira Liga - Round 19
327,cat327,1,,48,,,1,,9,,5,2,2,0,,2,3,,Tondela,,1,28.01.2017 12:45,Primeira Liga - Round 19,cat327,2,,52,,,1,,7,,5,1,0,0,,3,2,,Chaves,,2,28.01.2017 12:45,Primeira Liga - Round 19
328,cat328,1,,66,,,3,,4,,6,1,0,0,,5,1,,Vitoria Guimaraes,,1,28.01.2017 17:00,Primeira Liga - Round 19,cat328,2,,34,,,1,,14,,6,1,0,1,,5,1,,Maritimo,,2,28.01.2017 17:00,Primeira Liga - Round 19
329,cat329,1,,60,,,7,,9,,9,2,0,1,,7,2,,Vitoria Guimaraes,,1,28.01.2017 17:00,Primeira Liga - Round 19,cat329,2,,40,,,2,,13,,5,2,0,0,,3,2,,Maritimo,,0,28.01.2017 17:00,Primeira Liga - Round 19
330,cat330,1,,58,,,5,,7,,14,0,1,3,0,9,5,,Nacional,,1,28.01.2017 17:00,Primeira Liga - Round 19,cat330,2,,42,,,3,,9,,4,4,1,1,1,3,1,,Arouca,,5,28.01.2017 17:00,Primeira Liga - Round 19
331,cat331,1,,60,,,3,,8,,8,1,0,1,,7,1,,Nacional,,0,28.01.2017 17:00,Primeira Liga - Round 19,cat331,2,,40,,,4,,6,,4,1,0,0,,3,1,,Arouca,,1,28.01.2017 17:00,Primeira Liga - Round 19
332,cat332,1,,47,,,1,,13,,2,2,1,0,1,0,2,,Estoril,,7,28.01.2017 19:15,Primeira Liga - Round 19,cat332,2,,53,,,0,,9,,8,1,2,3,0,4,4,,FC Porto,,3,28.01.2017 19:15,Primeira Liga - Round 19
