,H_datetime,H_Gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,H_cat,gameurl
256,24.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Alaves,1,42,4,4,0,0,8,3,1,2,3,0,,,,,51,23,24.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Granada CF,1,58,9,3,1,5,3,2,1,3,7,2,,,,,58,28,cat256,https://www.flashscore.com/match/xWExufcb/#/match-summary/match-statistics/2
257,24.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Alaves,2,44,4,1,1,2,6,3,1,1,7,1,,,,,48,17,24.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Granada CF,0,56,2,1,1,0,8,0,0,0,6,1,,,,,55,20,cat257,https://www.flashscore.com/match/xWExufcb/#/match-summary/match-statistics/1
258,25.11.2023 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Rayo Vallecano,0,29,2,0,2,0,10,0,2,1,17,3,,,,,35,7,25.11.2023 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Barcelona,1,71,10,2,6,2,22,2,2,0,8,3,,,,,70,29,cat258,https://www.flashscore.com/match/2wClxhsH/#/match-summary/match-statistics/2
259,25.11.2023 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Rayo Vallecano,1,37,8,4,1,3,5,1,0,2,6,0,,,,,47,16,25.11.2023 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Barcelona,0,63,5,2,0,3,7,2,0,3,5,1,,,,,60,32,cat259,https://www.flashscore.com/match/2wClxhsH/#/match-summary/match-statistics/1
260,25.11.2023 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Valencia,0,59,6,0,4,2,3,1,0,1,8,3,,,,,70,17,25.11.2023 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Celta Vigo,0,41,9,1,2,6,6,2,1,0,3,2,,,,,46,23,cat260,https://www.flashscore.com/match/ryQIKPBq/#/match-summary/match-statistics/2
261,25.11.2023 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Valencia,0,51,2,0,2,0,2,4,0,0,5,,,,,,73,25,25.11.2023 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Celta Vigo,0,49,4,0,1,3,4,5,0,0,4,,,,,,47,26,cat261,https://www.flashscore.com/match/ryQIKPBq/#/match-summary/match-statistics/1
262,25.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Getafe,0,48,6,1,2,3,8,0,1,2,6,0,,,,,64,17,25.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Almeria,0,52,7,2,3,2,6,3,1,1,7,4,,,,,57,24,cat262,https://www.flashscore.com/match/GMDtvEC4/#/match-summary/match-statistics/2
263,25.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Getafe,2,60,12,4,6,2,4,3,0,1,6,2,,,,,56,43,25.11.2023 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Almeria,1,40,6,2,2,2,6,3,3,2,1,0,,,,,52,17,cat263,https://www.flashscore.com/match/GMDtvEC4/#/match-summary/match-statistics/1
264,25.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Atl. Madrid,1,69,11,3,6,2,10,3,0,1,3,,,,,,75,38,25.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Mallorca,0,31,6,1,4,1,3,3,0,2,10,,,,,,39,19,cat264,https://www.flashscore.com/match/QioKMCsU/#/match-summary/match-statistics/2
265,25.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Atl. Madrid,0,67,9,0,5,4,8,4,2,0,5,,,,,,71,30,25.11.2023 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 14",Mallorca,0,33,2,0,1,1,7,0,1,0,9,,,,,,46,8,cat265,https://www.flashscore.com/match/QioKMCsU/#/match-summary/match-statistics/1
