,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
226,Dijon,0,1.93,30,6,12,8.38,1.04,Lyon,3,2.47,16,5,2,21.50,1.75
227,Strasbourg,3,0.75,7,5,2,9.81,1.08,Dijon,0,1.05,14,1,6,7.52,1.59
228,Amiens,1,0.30,8,2,2,7.95,1.15,Dijon,0,0.37,10,3,8,7.81,1.29
229,Dijon,1,1.52,17,7,4,7.36,1.01,Lille,2,1.94,8,3,3,11.78,1.72
230,Dijon,0,1.28,23,7,10,3.19,0.79,Nimes,4,2.03,11,6,1,15.24,1.97
231,Dijon,0,0.84,14,4,1,8.96,1.85,Bordeaux,0,0.36,11,0,3,11.55,0.78
232,Dijon,2,0.26,9,3,1,4.60,0.68,Guingamp,1,0.90,19,8,2,9.38,1.94
233,Rennes,2,2.99,21,10,5,24.18,2.82,Dijon,0,0.49,9,4,1,9.96,0.12
234,Saint-Etienne,3,2.20,18,9,12,6.06,2.42,Dijon,0,0.76,7,2,3,7.66,0.40
235,Bordeaux,1,1.56,13,5,12,4.52,1.96,Dijon,0,0.89,10,3,6,33.18,0.77
236,Angers,1,1.37,12,5,4,16.30,2.26,Dijon,0,0.36,7,2,7,11.75,0.49
237,Nimes,2,0.95,14,6,1,10.04,1.41,Dijon,0,0.85,13,2,5,6.58,1.25
238,Dijon,0,0.32,11,2,5,9.77,0.67,Saint-Etienne,1,0.99,16,6,6,8.55,1.98
239,Lille,1,0.76,14,1,5,7.09,1.78,Dijon,0,0.28,6,1,4,9.52,0.79
240,Dijon,0,0.34,9,2,1,16.97,0.07,Paris Saint Germain,4,2.76,16,7,12,14.06,2.88
241,Guingamp,1,1.21,14,2,4,9.77,2.20,Dijon,0,0.42,12,4,0,12.88,0.54
242,Lyon,1,3.79,27,6,3,6.35,2.75,Dijon,3,1.18,8,3,6,13.09,0.17
243,Dijon,0,1.32,18,5,16,7.20,2.39,Amiens,0,0.21,4,1,4,14.07,0.38
244,Dijon,3,1.08,12,10,9,12.70,1.50,Rennes,2,0.87,10,4,12,4.57,1.18
245,Caen,1,1.32,14,2,8,5.71,2.13,Dijon,0,0.56,12,3,6,6.75,0.60
246,Dijon,2,1.29,11,6,7,11.48,0.53,Strasbourg,1,2.21,17,8,8,11.25,2.23
247,Paris Saint Germain,4,3.60,17,7,18,7.63,2.91,Dijon,0,0.58,13,3,3,28.29,0.05
248,Angers,3,2.62,21,7,10,5.69,2.29,Nimes,4,1.21,14,5,3,11.13,0.54
249,Rennes,1,0.39,5,2,2,10.79,1.29,Angers,0,0.35,7,0,4,31.10,1.17
250,Paris Saint Germain,3,2.03,13,5,11,8.26,1.77,Angers,1,1.51,11,6,6,25.83,0.97
251,Angers,1,0.76,6,3,2,20.93,0.63,Lille,0,1.51,17,4,4,8.06,2.05
252,Angers,0,0.37,11,4,10,6.07,0.41,Guingamp,1,1.50,11,5,5,24.25,2.38
253,Angers,2,2.16,24,6,5,10.44,1.99,Strasbourg,2,1.30,9,4,8,23.77,0.78
254,Angers,1,1.01,14,4,2,22.47,0.77,Lyon,2,1.73,9,5,11,6.18,1.95
255,Saint-Etienne,4,2.07,18,9,11,7.17,1.67,Angers,3,1.65,10,6,5,18.37,1.06
256,Angers,1,1.84,11,4,2,19.00,2.22,Caen,1,0.81,8,3,2,14.13,0.55
257,Amiens,0,1.68,21,5,6,9.04,2.52,Angers,0,0.23,7,2,1,27.33,0.30
258,Angers,1,2.31,19,8,5,9.35,2.74,Bordeaux,2,0.40,9,4,0,9.67,0.16
259,Nimes,3,1.76,16,6,3,13.53,1.47,Angers,1,1.58,11,4,6,14.12,1.25
260,Strasbourg,1,1.12,16,7,6,4.38,1.67,Angers,2,0.75,8,3,6,14.81,1.01
261,Guingamp,1,0.62,8,3,8,15.29,1.60,Angers,0,0.33,8,1,3,9.79,0.94
262,Angers,0,1.42,11,3,8,8.41,2.24,Amiens,0,0.51,8,4,0,6.89,0.52
263,Angers,3,1.97,17,9,10,14.44,1.22,Rennes,3,2.13,7,5,4,12.25,1.51
264,Caen,0,0.52,8,2,2,12.96,0.72,Angers,1,1.20,13,5,4,11.14,1.98
265,Lyon,2,2.89,24,11,9,10.81,2.82,Angers,1,0.45,11,3,2,22.32,0.11
266,Bordeaux,0,0.44,10,2,4,6.05,0.93,Angers,1,0.74,9,1,6,14.62,1.66
