,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
163,Augsburg,3,3.80,16,8,4,6.50,2.98,Mainz 05,0,0.20,5,0,6,10.39,0.01
164,Werder Bremen,4,1.67,13,5,4,19.21,1.85,Augsburg,0,1.06,13,3,1,13.80,0.90
165,Freiburg,5,2.01,19,11,7,10.03,1.70,Augsburg,1,1.55,14,4,6,8.14,1.05
166,Augsburg,2,0.96,9,4,0,21.00,0.28,Borussia Dortmund,1,2.85,17,8,12,7.81,2.59
167,RasenBallsport Leipzig,0,2.35,16,4,20,5.71,2.80,Augsburg,0,0.18,5,3,3,30.80,0.12
168,Augsburg,3,1.36,22,10,16,5.45,1.25,Hannover 96,1,1.49,13,4,9,17.19,1.48
169,Nuernberg,3,1.77,11,4,2,14.80,2.13,Augsburg,0,0.87,15,3,5,8.96,0.64
170,Eintracht Frankfurt,1,2.10,18,4,8,10.08,1.31,Augsburg,3,2.22,16,6,8,9.17,1.46
171,Augsburg,6,2.39,23,13,9,12.04,2.08,VfB Stuttgart,0,1.38,13,4,5,19.53,0.70
172,Augsburg,1,0.28,8,2,1,22.80,0.07,Bayer Leverkusen,4,2.93,13,7,11,6.09,2.89
173,Augsburg,3,1.43,5,3,3,25.92,0.60,Hertha Berlin,4,2.58,24,8,13,13.37,2.18
174,Hertha Berlin,1,1.03,10,3,4,11.92,1.02,Nuernberg,0,1.34,12,3,3,14.40,1.63
175,Hertha Berlin,4,3.96,16,7,7,17.75,2.16,B. Monchengladbach,2,2.65,16,4,5,18.24,0.68
176,Werder Bremen,3,2.52,14,6,10,10.52,2.55,Hertha Berlin,1,0.94,11,2,5,17.43,0.31
177,Mainz 05,0,1.57,23,3,6,11.00,1.76,Hertha Berlin,0,1.00,11,1,4,17.00,0.96
178,Hertha Berlin,1,0.88,13,5,4,8.00,1.74,Freiburg,1,0.43,8,3,3,17.45,0.88
179,Borussia Dortmund,2,3.57,19,5,15,10.24,2.35,Hertha Berlin,2,2.04,11,4,5,8.63,0.49
180,Hertha Berlin,0,1.79,13,5,7,12.65,0.40,RasenBallsport Leipzig,3,3.76,23,11,17,10.68,2.47
181,Hannover 96,0,0.54,11,2,5,7.82,0.31,Hertha Berlin,2,2.11,13,8,10,11.50,2.54
182,Hertha Berlin,1,0.24,7,4,5,8.75,0.54,Eintracht Frankfurt,0,1.13,18,4,6,6.87,2.14
183,VfB Stuttgart,2,1.44,9,4,2,9.35,1.28,Hertha Berlin,1,1.54,15,3,4,11.78,1.44
184,Bayer Leverkusen,3,1.82,15,7,9,17.29,1.79,Hertha Berlin,1,1.27,14,8,5,16.42,0.95
185,Nuernberg,1,1.12,14,3,10,17.14,0.61,Hertha Berlin,3,2.25,16,8,9,11.40,2.17
186,B. Monchengladbach,0,1.30,12,4,13,15.55,0.58,Hertha Berlin,3,2.49,10,4,7,29.69,2.23
187,Hertha Berlin,1,1.10,11,2,6,12.57,1.99,Werder Bremen,1,0.39,8,2,4,6.32,0.69
188,Hertha Berlin,2,1.77,11,4,3,5.52,2.16,Mainz 05,1,0.84,13,1,7,13.83,0.61
189,Freiburg,2,0.97,9,4,3,20.31,1.30,Hertha Berlin,1,1.02,16,6,3,5.41,1.35
190,Hertha Berlin,2,2.21,7,4,8,9.54,1.38,Borussia Dortmund,3,2.24,25,8,11,14.43,1.35
191,RasenBallsport Leipzig,5,5.04,22,9,16,17.37,2.97,Hertha Berlin,0,0.90,6,0,4,17.80,0.02
192,Hertha Berlin,0,1.08,16,3,13,4.21,1.82,Hannover 96,0,0.53,13,5,3,12.47,0.84
193,Eintracht Frankfurt,0,2.16,11,4,6,8.04,2.12,Hertha Berlin,0,1.18,11,3,3,4.88,0.67
194,Hertha Berlin,3,2.29,13,6,2,11.24,2.08,VfB Stuttgart,1,1.39,15,1,4,10.69,0.70
195,Hertha Berlin,1,1.20,9,4,2,21.22,0.40,Bayer Leverkusen,5,2.37,13,8,6,8.39,2.38
196,Nuernberg,1,1.56,19,4,6,12.25,2.40,Mainz 05,1,0.37,6,1,4,24.00,0.40
197,Werder Bremen,1,0.70,14,2,3,8.93,1.47,Nuernberg,1,0.51,11,2,4,15.39,1.12
198,Nuernberg,2,1.65,15,6,11,15.75,2.33,Hannover 96,0,0.56,8,2,6,72.25,0.45
199,Borussia Dortmund,7,2.19,19,10,8,13.25,2.76,Nuernberg,0,0.15,4,1,3,32.22,0.14
200,RasenBallsport Leipzig,6,3.18,19,8,5,8.20,2.91,Nuernberg,0,0.39,3,0,2,28.92,0.05
201,Nuernberg,1,0.95,10,3,3,17.93,1.26,Eintracht Frankfurt,1,1.00,10,2,4,11.95,1.39
202,Nuernberg,0,0.43,10,3,4,10.20,0.45,VfB Stuttgart,2,1.55,15,4,3,14.06,2.34
203,Nuernberg,1,0.68,11,4,5,12.61,0.76,Bayer Leverkusen,1,1.39,20,6,6,2.79,1.96
204,B. Monchengladbach,2,3.62,16,7,7,19.33,2.82,Nuernberg,0,1.14,7,2,4,17.05,0.11
205,Nuernberg,0,1.14,15,3,8,8.55,2.12,Freiburg,1,0.32,7,3,3,14.95,0.59
206,Mainz 05,2,2.36,19,4,7,7.33,2.77,Nuernberg,1,0.33,8,3,2,9.04,0.14
207,Nuernberg,1,1.10,11,2,2,14.91,1.32,Werder Bremen,1,1.11,10,3,5,7.38,1.33
208,Hannover 96,2,1.43,19,8,6,5.45,1.72,Nuernberg,0,0.98,10,1,5,14.94,0.98
209,Nuernberg,0,0.50,7,2,1,25.87,0.93,Borussia Dortmund,0,0.93,17,6,3,9.37,1.70
210,Nuernberg,0,1.03,7,1,6,10.29,1.49,RasenBallsport Leipzig,1,0.92,12,5,4,4.28,1.15
211,Eintracht Frankfurt,1,2.59,23,4,17,6.73,2.61,Nuernberg,0,0.70,9,3,2,14.50,0.26
212,VfB Stuttgart,1,1.62,13,4,6,7.31,0.82,Nuernberg,1,2.38,20,6,5,11.83,1.96
213,Bayer Leverkusen,2,1.51,21,9,20,8.25,2.39,Nuernberg,0,0.25,5,1,7,22.75,0.39
214,Nuernberg,0,0.80,12,2,11,28.27,0.61,B. Monchengladbach,4,1.76,16,5,10,12.91,2.16
215,Freiburg,5,1.09,18,8,6,9.52,1.65,Nuernberg,1,0.73,15,5,2,32.93,1.03
216,Werder Bremen,1,1.91,15,3,7,11.28,2.20,Hannover 96,1,0.84,13,4,4,11.96,0.59
217,Eintracht Frankfurt,1,1.25,5,1,1,36.00,1.29,Werder Bremen,2,1.34,11,7,9,8.17,1.39
218,VfB Stuttgart,2,2.44,18,5,5,13.53,2.57,Werder Bremen,1,0.66,14,3,4,7.45,0.30
219,Werder Bremen,2,1.50,14,6,7,7.24,0.23,Bayer Leverkusen,6,4.07,18,12,8,23.13,2.69
220,Mainz 05,2,1.55,14,6,3,21.26,1.60,Werder Bremen,1,1.26,14,4,11,11.67,1.10
221,Werder Bremen,1,1.51,20,5,12,23.71,0.64,B. Monchengladbach,3,2.74,16,6,6,23.21,2.19
222,Freiburg,1,2.98,23,9,7,16.83,1.93,Werder Bremen,1,2.14,19,8,13,15.13,0.87
223,Borussia Dortmund,2,2.89,16,9,13,20.21,2.79,Werder Bremen,1,0.46,11,5,5,11.00,0.14
224,RasenBallsport Leipzig,3,1.94,13,5,7,11.69,1.27,Werder Bremen,2,2.10,15,6,6,11.63,1.48
225,Hannover 96,0,0.52,10,1,7,9.29,0.30,Werder Bremen,1,2.17,23,13,8,8.41,2.56
226,Werder Bremen,2,2.60,18,9,10,15.25,2.06,Eintracht Frankfurt,2,1.65,8,4,2,7.36,0.71
227,Werder Bremen,1,1.23,15,4,7,10.13,1.62,VfB Stuttgart,1,0.95,8,4,3,29.71,1.04
228,Bayer Leverkusen,1,0.92,15,2,15,6.39,1.00,Werder Bremen,3,1.31,11,5,2,19.95,1.71
229,Werder Bremen,3,1.23,8,4,6,8.08,1.58,Mainz 05,1,1.00,14,5,2,11.07,1.12
230,B. Monchengladbach,1,2.00,15,3,10,13.95,2.10,Werder Bremen,1,1.05,12,6,3,14.45,0.67
231,Werder Bremen,2,1.82,16,7,8,4.22,2.35,Freiburg,1,0.55,9,5,3,22.15,0.45
232,Werder Bremen,2,0.64,14,4,9,7.76,0.26,Borussia Dortmund,2,2.67,20,8,8,18.07,2.63
233,Werder Bremen,2,1.20,6,3,4,10.36,0.78,RasenBallsport Leipzig,1,1.85,10,3,5,11.42,1.93
234,Hannover 96,0,0.46,7,0,5,9.25,0.91,Borussia Dortmund,0,0.84,9,3,2,16.32,1.70
235,RasenBallsport Leipzig,3,2.35,14,6,5,21.26,2.36,Hannover 96,2,0.95,16,8,6,7.00,0.47
236,Eintracht Frankfurt,4,2.76,16,7,8,9.30,2.79,Hannover 96,1,0.61,4,1,2,6.30,0.13
237,Hannover 96,3,2.04,15,6,2,8.62,2.36,VfB Stuttgart,1,0.69,11,5,3,9.40,0.45
238,Bayer Leverkusen,2,2.39,20,7,8,5.48,2.33,Hannover 96,2,1.07,11,7,3,8.64,0.48
239,B. Monchengladbach,4,1.71,20,6,14,10.64,2.32,Hannover 96,1,0.46,6,3,0,46.50,0.46
240,Mainz 05,1,3.28,28,5,5,4.28,2.06,Hannover 96,1,2.24,11,3,4,22.23,0.74
241,Freiburg,1,1.63,14,7,3,8.94,1.09,Hannover 96,1,2.02,18,3,7,9.83,1.65
242,Borussia Dortmund,5,2.90,18,9,14,11.47,2.61,Hannover 96,1,0.82,11,3,5,13.64,0.27
243,Hannover 96,0,0.14,5,1,1,11.00,0.09,RasenBallsport Leipzig,3,2.35,19,8,3,5.78,2.85
244,Hannover 96,0,0.39,9,3,6,9.57,0.21,Eintracht Frankfurt,3,2.34,14,8,5,11.16,2.68
245,VfB Stuttgart,5,2.67,14,8,7,8.67,2.70,Hannover 96,1,0.61,3,1,4,11.33,0.18
246,Hannover 96,2,0.67,11,4,3,8.97,0.23,Bayer Leverkusen,3,2.44,16,5,15,4.47,2.64
247,Hannover 96,0,1.37,12,5,3,12.19,1.10,B. Monchengladbach,1,1.76,19,9,10,10.11,1.64
248,Hannover 96,1,0.88,7,2,3,13.67,0.20,Mainz 05,0,2.94,23,4,12,5.67,2.70
249,Hannover 96,3,2.30,18,6,12,7.65,2.57,Freiburg,0,0.67,5,1,5,13.00,0.28
250,Freiburg,0,1.47,22,6,13,9.42,1.88,Eintracht Frankfurt,2,0.81,10,2,2,15.87,0.84
251,Freiburg,3,1.21,12,5,4,17.38,1.28,VfB Stuttgart,3,1.20,12,6,6,9.65,1.38
252,Freiburg,0,0.50,7,1,5,11.88,1.25,Bayer Leverkusen,0,0.55,14,0,3,7.73,1.31
253,Freiburg,3,1.41,13,7,3,23.13,1.55,B. Monchengladbach,1,1.15,10,2,4,13.59,1.09
254,Freiburg,1,1.86,15,4,3,6.29,2.21,Mainz 05,3,0.77,12,9,6,12.04,0.58
255,Borussia Dortmund,2,2.69,11,4,7,10.38,2.92,Freiburg,0,0.14,5,1,0,20.14,0.04
256,Freiburg,3,2.03,12,9,1,11.84,2.03,RasenBallsport Leipzig,0,1.23,16,4,7,5.79,0.74
257,Eintracht Frankfurt,3,2.91,9,4,5,8.65,2.30,Freiburg,1,1.55,21,7,5,15.13,0.53
258,VfB Stuttgart,2,0.85,17,4,8,7.94,0.31,Freiburg,2,2.53,16,4,4,21.94,2.56
259,Bayer Leverkusen,2,3.26,18,5,11,9.57,2.98,Freiburg,0,0.26,8,3,2,31.26,0.01
260,B. Monchengladbach,1,1.17,12,2,12,14.23,2.00,Freiburg,1,0.51,10,2,3,18.73,0.70
261,Mainz 05,5,2.27,9,5,6,14.96,1.75,Freiburg,0,1.81,17,5,6,6.11,1.01
262,Freiburg,0,0.54,11,2,3,16.07,0.09,Borussia Dortmund,4,2.92,10,6,8,27.73,2.86
263,RasenBallsport Leipzig,2,2.05,14,4,9,12.63,2.27,Freiburg,1,0.87,14,8,8,9.27,0.53
264,Borussia Dortmund,3,1.96,10,6,1,9.21,2.85,Eintracht Frankfurt,1,0.20,5,2,1,15.96,0.08
265,Eintracht Frankfurt,1,1.80,8,5,4,7.66,1.29,RasenBallsport Leipzig,1,1.88,9,2,5,10.41,1.41
266,B. Monchengladbach,3,1.55,21,9,7,14.92,1.67,Eintracht Frankfurt,1,1.12,12,2,3,14.89,1.06
267,VfB Stuttgart,0,1.02,10,0,2,16.33,0.21,Eintracht Frankfurt,3,3.33,15,7,11,11.92,2.69
268,Eintracht Frankfurt,2,3.60,17,7,10,6.05,2.85,Bayer Leverkusen,1,0.74,12,6,4,9.41,0.10
269,Mainz 05,2,1.61,17,6,5,7.21,1.75,Eintracht Frankfurt,2,1.09,12,4,3,6.88,0.97
270,Eintracht Frankfurt,1,1.44,12,7,3,8.84,1.04,Borussia Dortmund,1,1.88,13,4,11,18.00,1.71
271,RasenBallsport Leipzig,0,1.59,15,1,6,11.00,2.25,Eintracht Frankfurt,0,0.50,6,2,6,8.00,0.52
272,Eintracht Frankfurt,1,1.16,13,4,3,13.46,1.35,B. Monchengladbach,1,1.17,14,5,9,10.21,1.33
273,Eintracht Frankfurt,3,2.01,11,5,6,7.38,2.46,VfB Stuttgart,0,0.57,9,3,4,12.83,0.38
274,Bayer Leverkusen,6,2.79,17,11,16,5.44,2.91,Eintracht Frankfurt,1,0.17,6,2,1,24.65,0.05
275,Eintracht Frankfurt,0,1.71,13,4,9,5.65,1.77,Mainz 05,2,1.25,15,4,7,7.50,0.97
276,B. Monchengladbach,2,3.34,18,7,10,13.17,2.70,Bayer Leverkusen,0,1.06,14,3,6,17.63,0.21
277,B. Monchengladbach,4,3.01,16,8,8,20.13,2.87,Mainz 05,0,0.47,14,4,2,23.73,0.08
278,RasenBallsport Leipzig,2,2.40,14,6,8,25.24,2.58,B. Monchengladbach,0,0.63,7,4,3,14.05,0.29
279,B. Monchengladbach,3,2.61,23,7,9,10.67,2.62,VfB Stuttgart,0,0.68,7,2,6,38.83,0.26
280,Borussia Dortmund,2,1.80,12,4,13,16.85,2.46,B. Monchengladbach,1,0.52,3,2,1,22.89,0.34
281,Bayer Leverkusen,0,1.21,22,10,6,6.55,1.72,B. Monchengladbach,1,0.75,7,3,4,16.86,0.97
282,Mainz 05,0,0.58,14,2,10,18.86,0.74,B. Monchengladbach,1,1.20,9,4,4,18.00,1.97
283,B. Monchengladbach,1,2.20,15,4,7,5.90,1.43,RasenBallsport Leipzig,2,2.13,13,4,4,14.92,1.33
