,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
128,Napoli,1,2.05,19,5,7,13.50,2.77,SPAL 2013,0,0.07,4,1,2,24.06,0.13
129,Napoli,2,2.29,26,13,9,8.88,1.74,Roma,4,1.74,11,5,2,27.13,1.03
130,Inter,0,0.16,3,1,4,26.10,0.63,Napoli,0,0.77,11,2,7,11.69,1.95
131,Napoli,1,1.62,16,4,9,9.73,1.88,Genoa,0,1.01,12,3,3,22.50,0.86
132,Sassuolo,1,1.84,10,4,3,17.81,1.18,Napoli,1,2.11,12,4,8,5.00,1.53
133,Napoli,2,3.83,33,12,25,5.90,2.96,Chievo,1,0.21,4,2,2,32.00,0.02
134,AC Milan,0,0.61,13,2,4,32.77,0.72,Napoli,0,1.36,15,4,6,18.35,2.00
135,Napoli,4,1.44,18,9,8,8.63,0.78,Udinese,2,2.29,19,5,1,19.05,1.98
136,Fiorentina,3,2.52,28,10,7,7.59,2.88,Napoli,0,0.10,4,1,1,19.88,0.07
137,Napoli,2,1.89,19,5,6,9.42,2.60,Torino,2,0.31,5,2,1,19.25,0.25
138,Sampdoria,0,0.43,11,2,6,16.48,0.81,Napoli,2,0.96,17,9,4,9.32,1.84
139,Napoli,2,1.73,19,9,11,9.67,2.59,Crotone,1,0.23,9,4,0,28.41,0.25
140,Atalanta,0,1.48,16,6,4,5.83,2.39,Roma,1,0.36,6,1,5,9.27,0.39
141,Atalanta,2,0.61,9,3,9,7.88,0.78,Sassuolo,1,1.29,16,3,9,6.03,1.93
142,Chievo,1,1.23,15,4,3,15.31,1.03,Atalanta,1,1.61,10,6,10,8.00,1.68
143,Atalanta,5,2.79,14,11,6,13.48,2.86,Crotone,1,0.33,7,5,5,18.26,0.09
144,Fiorentina,1,0.35,10,2,6,9.52,0.12,Atalanta,1,2.53,16,5,5,6.00,2.81
145,Sampdoria,3,1.52,11,7,7,10.50,0.49,Atalanta,1,3.12,21,11,18,10.16,2.35
146,Atalanta,1,1.95,21,3,9,6.58,2.65,Bologna,0,0.24,6,0,3,25.69,0.21
147,Udinese,2,1.36,7,4,2,17.20,1.32,Atalanta,1,1.36,7,2,7,5.28,1.33
148,Atalanta,1,0.82,9,3,5,19.80,1.25,SPAL 2013,1,0.90,11,3,4,11.20,1.40
149,Inter,2,1.13,8,4,2,9.36,2.08,Atalanta,0,0.36,8,1,3,11.29,0.61
150,Atalanta,1,1.56,14,4,16,4.87,2.22,Benevento,0,0.50,6,2,2,16.13,0.53
151,Torino,1,0.85,11,6,5,6.25,1.18,Atalanta,1,1.04,15,7,6,9.07,1.50
152,Genoa,1,1.30,17,4,7,8.10,1.30,Atalanta,2,1.37,13,7,13,8.33,1.42
153,Atalanta,3,2.43,13,6,9,11.29,2.39,Lazio,3,1.06,13,4,11,8.30,0.44
154,AC Milan,0,1.01,23,5,8,9.73,0.58,Atalanta,2,2.00,11,7,6,14.18,2.21
155,Roma,1,1.19,18,5,9,6.33,1.68,Atalanta,2,0.81,11,4,3,22.14,1.01
156,Sassuolo,0,0.94,10,1,5,12.96,0.48,Atalanta,3,2.23,17,10,15,8.27,2.33
157,Atalanta,1,2.43,25,4,9,6.83,2.86,Chievo,0,0.20,4,0,3,9.27,0.08
158,Crotone,1,0.85,9,4,4,7.64,0.75,Atalanta,1,1.38,13,4,4,4.12,1.85
159,Atalanta,1,0.40,7,3,10,8.15,0.50,Fiorentina,1,1.46,17,2,3,7.94,2.26
160,Bologna,0,0.46,9,1,0,12.30,0.81,Atalanta,1,1.05,20,5,16,6.14,1.85
161,Atalanta,2,2.66,23,7,15,8.14,2.75,Udinese,0,0.40,9,2,1,18.05,0.16
162,Atalanta,1,1.27,16,1,6,6.37,1.31,Sampdoria,2,1.31,10,3,5,9.86,1.41
163,SPAL 2013,1,0.59,8,4,2,10.18,0.60,Atalanta,1,1.45,18,6,10,4.28,2.12
164,Atalanta,0,1.27,16,4,8,10.93,1.54,Inter,0,1.06,11,2,4,16.93,1.17
165,Benevento,0,0.74,12,4,2,9.10,0.08,Atalanta,3,3.74,12,8,10,7.15,2.89
166,Atalanta,2,2.31,22,8,8,5.82,2.59,Torino,1,0.59,10,1,5,8.05,0.28
167,Atalanta,3,1.56,13,6,6,11.34,1.66,Genoa,1,1.15,12,3,5,19.31,1.06
168,Lazio,1,1.53,13,2,6,11.59,0.49,Atalanta,1,2.96,20,6,13,8.75,2.34
169,Atalanta,1,2.09,24,5,12,7.64,2.75,AC Milan,1,0.16,5,2,1,11.53,0.15
170,Roma,1,1.34,18,3,10,12.45,0.59,Inter,3,2.45,14,8,10,14.00,2.21
171,Benevento,0,0.72,16,5,5,19.44,0.35,Roma,4,2.24,21,7,10,6.08,2.50
172,Roma,3,2.99,19,8,5,11.21,2.46,Udinese,1,1.29,14,5,4,25.54,0.40
173,AC Milan,0,0.78,18,3,6,13.33,0.99,Roma,2,1.19,11,6,6,15.07,1.70
174,Torino,0,0.49,5,0,2,6.26,0.95,Roma,1,0.86,14,3,3,4.77,1.67
175,Roma,1,2.41,20,4,9,6.80,2.71,Crotone,0,0.44,3,2,2,32.77,0.18
176,Roma,1,0.89,15,3,9,14.00,1.60,Bologna,0,0.57,10,2,7,10.54,1.03
177,Fiorentina,2,1.19,19,6,5,6.53,0.65,Roma,4,2.30,21,10,5,9.48,2.14
178,Roma,2,1.57,16,7,3,9.68,1.67,Lazio,1,1.19,12,2,7,9.50,1.00
179,Genoa,1,1.12,9,4,3,21.27,1.19,Roma,1,1.29,14,4,4,5.78,1.47
180,Roma,3,4.71,37,15,15,4.46,2.90,SPAL 2013,1,1.32,3,2,0,31.58,0.06
181,Chievo,0,1.02,11,1,5,7.27,0.43,Roma,0,2.50,26,8,20,6.00,2.40
182,Roma,1,1.68,21,3,11,4.10,1.85,Sassuolo,1,1.07,15,5,1,11.36,0.90
183,Inter,1,1.52,17,7,7,12.86,2.21,Roma,1,0.51,7,1,7,10.82,0.54
184,Sampdoria,1,1.98,13,3,9,6.52,1.18,Roma,1,2.29,20,4,13,8.39,1.59
185,Roma,0,2.65,19,8,11,4.40,2.17,Sampdoria,1,1.56,15,10,5,11.62,0.64
186,Roma,5,2.52,21,9,4,8.09,2.62,Benevento,2,0.71,6,3,7,19.40,0.25
187,Udinese,0,0.49,8,3,0,10.75,0.58,Roma,2,1.48,18,7,4,8.35,2.15
188,Roma,0,0.62,18,3,7,6.61,0.46,AC Milan,2,1.88,10,5,3,26.27,2.35
189,Roma,3,1.40,15,5,12,10.60,1.75,Torino,0,0.91,10,3,2,10.26,0.95
190,Crotone,0,0.48,8,3,3,7.44,0.17,Roma,2,2.48,20,8,6,5.17,2.74
191,Bologna,1,0.30,6,1,4,12.92,0.12,Roma,1,2.46,17,5,15,8.75,2.80
192,Roma,0,1.72,25,8,12,4.40,2.20,Fiorentina,2,0.63,3,2,1,20.23,0.56
193,Lazio,0,0.63,7,1,6,8.69,1.25,Roma,0,0.70,10,1,6,7.45,1.35
194,Roma,2,1.82,15,6,10,8.71,2.15,Genoa,1,0.81,5,1,2,18.12,0.62
195,SPAL 2013,0,0.23,6,3,3,20.69,0.39,Roma,3,1.41,14,7,13,7.27,2.37
196,Roma,4,1.67,15,7,4,16.21,1.53,Chievo,1,1.43,12,6,7,17.28,1.19
197,Sassuolo,0,0.98,16,3,3,11.50,1.19,Roma,1,1.16,15,6,5,6.63,1.49
198,Bologna,1,0.57,13,3,6,15.00,1.52,Torino,1,0.31,9,3,4,10.15,0.99
199,Benevento,0,0.80,18,6,11,9.00,0.56,Bologna,1,1.79,14,4,1,11.58,2.22
200,Fiorentina,2,0.58,15,3,3,5.39,1.54,Bologna,1,0.31,6,2,4,20.71,0.97
201,Bologna,1,0.89,14,3,2,13.36,1.11,Inter,1,1.07,10,3,5,10.45,1.54
202,Sassuolo,0,0.36,8,3,2,10.69,0.27,Bologna,1,1.82,9,5,7,10.12,2.58
203,Genoa,0,1.51,18,7,6,10.94,1.89,Bologna,1,0.87,8,4,3,16.62,0.82
204,Bologna,2,1.93,14,2,6,9.73,2.66,SPAL 2013,1,0.38,7,2,3,9.38,0.21
205,Bologna,1,0.89,9,3,4,11.71,0.26,Lazio,2,2.74,14,3,5,12.12,2.62
206,Bologna,2,0.95,15,5,9,5.61,0.52,Crotone,3,2.02,10,6,5,20.87,2.27
207,Bologna,3,1.23,11,6,5,44.00,1.85,Sampdoria,0,0.73,20,7,10,7.33,0.85
208,AC Milan,2,0.88,21,7,17,8.64,1.06,Bologna,1,1.19,11,3,5,27.60,1.64
209,Chievo,2,1.37,21,8,6,10.81,1.34,Bologna,3,1.37,9,5,4,14.00,1.39
210,Bologna,1,1.16,12,3,5,10.29,1.35,Udinese,2,1.13,7,4,5,9.58,1.34
211,Torino,3,2.02,19,6,11,6.90,2.17,Bologna,0,0.96,6,1,3,12.12,0.59
212,Bologna,3,2.23,8,6,4,8.97,2.60,Benevento,0,0.69,4,1,2,10.65,0.26
213,Bologna,1,0.40,9,4,7,13.15,0.83,Fiorentina,2,0.84,10,5,9,10.00,1.79
214,Inter,2,2.40,15,5,8,6.95,2.70,Bologna,1,0.50,8,4,4,11.42,0.19
215,Bologna,2,1.05,10,6,2,8.53,0.20,Sassuolo,1,2.88,17,5,7,10.06,2.69
216,Bologna,2,1.78,7,4,5,17.65,2.33,Genoa,0,0.80,16,3,12,11.19,0.46
217,SPAL 2013,1,0.53,11,1,9,4.44,0.43,Bologna,0,1.41,6,0,4,11.41,2.33
218,Lazio,1,1.01,21,4,10,6.62,1.38,Bologna,1,0.89,10,3,3,25.90,1.28
