,H_cat,H_type,H_Attacks,H_Ball Possession,H_Blocked Shots,H_Completed Passes,H_Corner Kicks,H_Dangerous Attacks,H_Fouls,H_Free Kicks,H_Goal Attempts,H_Goalkeeper Saves,H_Goals,H_Offsides,H_Red Cards,H_Shots off Goal,H_Shots on Goal,H_Tackles,H_Teamnames,H_Total Passes,H_Yellow Cards,H_datetime,H_gameinfo,A_cat,A_type,A_Attacks,A_Ball Possession,A_Blocked Shots,A_Completed Passes,A_Corner Kicks,A_Dangerous Attacks,A_Fouls,A_Free Kicks,A_Goal Attempts,A_Goalkeeper Saves,A_Goals,A_Offsides,A_Red Cards,A_Shots off Goal,A_Shots on Goal,A_Tackles,A_Teamnames,A_Total Passes,A_Yellow Cards,A_datetime,A_gameinfo
52,cat56,1.0,,53,0,,2,,5,5,2,0,0,1,,0,2,,Lorient,,,06.05.2017 20:00,Ligue 1 - Round 36,cat56,2.0,,47,1,,2,,4,6,3,2,0,1,,2,0,,Angers,,,06.05.2017 20:00,Ligue 1 - Round 36
53,cat57,1.0,,59,0,,0,,6,4,4,3,1,1,,3,1,,Lorient,,1,06.05.2017 20:00,Ligue 1 - Round 36,cat57,2.0,,41,0,,5,,4,7,6,0,1,0,,2,4,,Angers,,0,06.05.2017 20:00,Ligue 1 - Round 36
54,cat58,1.0,,43,0,,3,,4,6,4,2,0,2,,2,2,,Nancy,,1,06.05.2017 20:00,Ligue 1 - Round 36,cat58,2.0,,57,1,,2,,5,6,7,2,2,1,,2,4,,Monaco,,1,06.05.2017 20:00,Ligue 1 - Round 36
55,cat59,1.0,,51,1,,2,,4,2,2,3,0,1,,1,0,,Nancy,,,06.05.2017 20:00,Ligue 1 - Round 36,cat59,2.0,,49,3,,3,,2,5,11,0,1,0,,4,4,,Monaco,,,06.05.2017 20:00,Ligue 1 - Round 36
56,cat60,1.0,,50,3,,3,,2,6,5,1,0,0,,0,2,,Toulouse,,1,06.05.2017 20:00,Ligue 1 - Round 36,cat60,2.0,,50,0,,0,,5,2,1,2,0,1,,0,1,,Caen,,1,06.05.2017 20:00,Ligue 1 - Round 36
57,cat61,1.0,,56,0,,2,,8,4,4,2,0,0,,1,3,,Toulouse,,2,06.05.2017 20:00,Ligue 1 - Round 36,cat61,2.0,,44,3,,5,,4,8,10,3,1,0,,4,3,,Caen,,1,06.05.2017 20:00,Ligue 1 - Round 36
58,cat62,1.0,,72,2,,4,,3,2,13,0,2,2,,4,7,,Paris SG,,0,06.05.2017 17:00,Ligue 1 - Round 36,cat62,2.0,,28,0,,0,,1,5,3,5,0,0,,3,0,,Bastia,,1,06.05.2017 17:00,Ligue 1 - Round 36
59,cat63,1.0,,72,4,,7,,8,2,14,0,3,4,,5,5,,Paris SG,,1,06.05.2017 17:00,Ligue 1 - Round 36,cat63,2.0,,28,3,,4,,2,12,3,2,0,1,,0,0,,Bastia,,1,06.05.2017 17:00,Ligue 1 - Round 36
60,cat64,1.0,,57,1,,3,,8,6,6,2,1,0,,4,1,,St Etienne,,0,05.05.2017 20:45,Ligue 1 - Round 36,cat64,2.0,,43,3,,4,,4,7,7,0,1,2,,1,3,,Bordeaux,,1,05.05.2017 20:45,Ligue 1 - Round 36
61,cat65,1.0,,64,2,,4,,6,8,9,1,1,1,0,3,4,,St Etienne,,1,05.05.2017 20:45,Ligue 1 - Round 36,cat65,2.0,,36,0,,3,,7,7,4,3,1,1,1,2,2,,Bordeaux,,1,05.05.2017 20:45,Ligue 1 - Round 36
62,cat66,1.0,,38,2,,2,,5,5,4,1,1,3,,1,1,,Nice,,2,30.04.2017 21:00,Ligue 1 - Round 35,cat66,2.0,,62,1,,2,,4,8,6,0,0,1,,4,1,,Paris SG,,0,30.04.2017 21:00,Ligue 1 - Round 35
63,cat67,1.0,,30,0,,0,,6,14,2,3,2,0,0,0,2,,Nice,,0,30.04.2017 21:00,Ligue 1 - Round 35,cat67,2.0,,70,2,,6,,11,6,10,0,1,3,2,4,4,,Paris SG,,3,30.04.2017 21:00,Ligue 1 - Round 35
