,H_DATETIME,H_GAMEINFO,H_TEAMNAMES,H_GOALS,H_BALL_POSSESSION,H_GOAL_ATTEMPTS,H_SHOTS_ON_GOAL,H_SHOTS_OFF_GOAL,H_BLOCKED_SHOTS,H_FREE_KICKS,H_CORNER_KICKS,H_OFFSIDES,H_GOALKEEPER_SAVES,H_FOULS,H_YELLOW_CARDS,H_RED_CARDS,H_TOTAL_PASSES,H_COMPLETED_PASSES,H_TACKLES,H_ATTACKS,H_DANGEROUS_ATTACKS,A_DATETIME,A_GAMEINFO,A_TEAMNAMES,A_GOALS,A_BALL_POSSESSION,A_GOAL_ATTEMPTS,A_SHOTS_ON_GOAL,A_SHOTS_OFF_GOAL,A_BLOCKED_SHOTS,A_FREE_KICKS,A_CORNER_KICKS,A_OFFSIDES,A_GOALKEEPER_SAVES,A_FOULS,A_YELLOW_CARDS,A_RED_CARDS,A_TOTAL_PASSES,A_COMPLETED_PASSES,A_TACKLES,A_ATTACKS,A_DANGEROUS_ATTACKS,H_CAT,GAMEURL,H_CLEARANCES_TOTAL,A_CROSSES,H_SHOTS_OUTSIDE_THE_BOX,H_HIT_THE_WOODWORK,A_CLEARANCES_TOTAL,H_PASSES_IN_THE_FINAL_THIRD,A_HIT_THE_WOODWORK,A_TOUCHES_IN_THE_OPPOSITION_BOX,H_THROWINS,A_THROWINS,H_SHOTS_INSIDE_THE_BOX,A_SHOTS_INSIDE_THE_BOX,H_CROSSES,A_SHOTS_OUTSIDE_THE_BOX,A_INTERCEPTIONS,H_TOUCHES_IN_THE_OPPOSITION_BOX,A_BIG_CHANCES,A_PASSES_IN_THE_FINAL_THIRD,H_EXPECTED_GOALS_XG,H_INTERCEPTIONS,H_BIG_CHANCES,A_EXPECTED_GOALS_XG,H_HEADED_GOALS,A_HEADED_GOALS,HALFTIME
56,04.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 19",Verona,0,33,8,2,5,1,8,2,1.0,5,4,2.0,1.0,127,83,38.0,,,04.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 19",Udinese,0,67,11,5,5,1,4,1,1.0,2,8,1.0,0.0,,,60.0,,,2,https://www.flashscore.com/match/zTBHRks4/#/match-summary/match-statistics/2,11,50.0,3,0,7,54.0,1,13,5,17,5,6,29.0,5,4,14,0,77.0,0.73,7,0,0.70,,,2.0
57,11.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 20",AC Milan,0,66,8,3,2,3,7,3,2.0,1,4,0.0,,281,247,75.0,,,11.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 20",Cagliari,0,34,4,1,1,2,4,1,2.0,3,7,1.0,,,,60.0,,,1,https://www.flashscore.com/match/WnX9hJoK/#/match-summary/match-statistics/1,4,17.0,4,0,19,79.0,0,7,9,3,4,3,12.0,1,3,17,0,71.0,0.36,2,0,0.31,,,1.0
58,11.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 20",AC Milan,1,70,16,8,8,0,4,6,1.0,0,5,1.0,,256,229,56.0,,,11.01.2025 19:45,"FOOTBALL
ITALY: SERIE A - ROUND 20",Cagliari,1,30,2,1,1,0,5,0,3.0,7,4,1.0,,,,43.0,,,2,https://www.flashscore.com/match/WnX9hJoK/#/match-summary/match-statistics/2,6,0.0,7,2,14,81.0,0,2,9,7,9,0,6.0,2,4,25,0,43.0,1.78,1,5,0.06,,,2.0
59,11.01.2025 17:00,"FOOTBALL
ITALY: SERIE A - ROUND 20",Torino,1,46,6,1,4,1,5,5,1.0,0,6,1.0,,204,182,50.0,,,11.01.2025 17:00,"FOOTBALL
ITALY: SERIE A - ROUND 20",Juventus,1,54,2,1,1,0,6,1,1.0,0,5,0.0,,,,83.0,,,1,https://www.flashscore.com/match/pEFdqF86/#/match-summary/match-statistics/1,4,14.0,0,0,13,73.0,0,1,7,12,6,1,23.0,1,1,10,1,79.0,0.34,3,0,0.10,,,1.0
60,11.01.2025 17:00,"FOOTBALL
ITALY: SERIE A - ROUND 20",Torino,0,36,5,1,2,2,4,4,0.0,8,12,3.0,,154,127,71.0,,,11.01.2025 17:00,"FOOTBALL
ITALY: SERIE A - ROUND 20",Juventus,0,64,13,8,1,4,12,0,1.0,1,4,1.0,,,,83.0,,,2,https://www.flashscore.com/match/pEFdqF86/#/match-summary/match-statistics/2,15,15.0,3,0,18,70.0,0,16,5,7,2,6,19.0,7,2,12,0,85.0,0.22,1,0,0.72,,,2.0
61,11.01.2025 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 20",Empoli,0,42,5,1,2,2,10,4,2.0,3,3,0.0,,158,105,57.0,,,11.01.2025 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 20",Lecce,2,58,9,5,3,1,3,2,3.0,1,10,1.0,,,,54.0,,,1,https://www.flashscore.com/match/z1m7Ycfl/#/match-summary/match-statistics/1,13,25.0,2,0,18,50.0,0,10,13,17,3,6,14.0,3,5,10,3,67.0,0.25,7,2,0.75,,,1.0
62,11.01.2025 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 20",Empoli,1,56,10,4,4,2,11,5,0.0,0,8,0.0,,219,147,82.0,,,11.01.2025 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 20",Lecce,1,44,5,1,2,2,8,0,0.0,3,11,2.0,,,,75.0,,,2,https://www.flashscore.com/match/z1m7Ycfl/#/match-summary/match-statistics/2,2,,1,0,32,54.0,0,6,21,7,9,3,,2,10,26,0,51.0,1.08,3,2,0.33,1,0,2.0
63,11.01.2025 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 20",Udinese,0,51,9,2,2,5,9,5,0.0,1,1,0.0,,219,184,100.0,,,11.01.2025 14:00,"FOOTBALL
ITALY: SERIE A - ROUND 20",Atalanta,0,49,1,1,0,0,1,0,2.0,2,9,1.0,,,,70.0,,,1,https://www.flashscore.com/match/IRD4sgwJ/#/match-summary/match-statistics/1,5,33.0,2,2,18,68.0,0,5,11,12,7,1,13.0,0,4,10,0,65.0,1.51,4,3,0.09,,,1.0
64,17.08.2024 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Parma,0,42,3,1,2,0,10,1,1.0,1,8,2.0,0.0,221,172,,39.0,25.0,17.08.2024 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Fiorentina,1,58,6,2,2,2,10,3,4.0,1,4,1.0,1.0,284.0,242.0,,61.0,29.0,cat0,https://www.flashscore.com/match/Sf88FVcc/#/match-summary/match-statistics/2,,,,,,,,,,,,,,,,,,,,,,,,,
65,17.08.2024 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Parma,1,36,10,4,2,4,6,3,0.0,5,7,1.0,,42,28,,40.0,19.0,17.08.2024 18:30,"FOOTBALL
ITALY: SERIE A - ROUND 1",Fiorentina,0,64,8,5,1,2,8,6,1.0,3,5,1.0,,132.0,112.0,,38.0,26.0,cat1,https://www.flashscore.com/match/Sf88FVcc/#/match-summary/match-statistics/1,,,,,,,,,,,,,,,,,,,,,,,,,
