,H_datetime,H_Gameinfo,H_Teamnames,H_Goals,H_Ball Possession,H_Goal Attempts,H_Shots on Goal,H_Shots off Goal,H_Blocked Shots,H_Free Kicks,H_Corner Kicks,H_Offsides,H_Goalkeeper Saves,H_Fouls,H_Yellow Cards,H_Red Cards,H_Total Passes,H_Completed Passes,H_Tackles,H_Attacks,H_Dangerous Attacks,A_datetime,A_gameinfo,A_Teamnames,A_Goals,A_Ball Possession,A_Goal Attempts,A_Shots on Goal,A_Shots off Goal,A_Blocked Shots,A_Free Kicks,A_Corner Kicks,A_Offsides,A_Goalkeeper Saves,A_Fouls,A_Yellow Cards,A_Red Cards,A_Total Passes,A_Completed Passes,A_Tackles,A_Attacks,A_Dangerous Attacks,H_cat,gameurl
163,05.10.2024 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Espanyol,1,47,6,1,5,0,9,3,0,0,7,,,,,,,,05.10.2024 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Mallorca,0,53,1,0,0,1,8,1,0,0,8,,,,,,,,cat1,https://www.flashscore.com/match/0AJjqex0/#/match-summary/match-statistics/1
164,05.10.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Getafe,0,36,10,2,6,2,9,4,4,1,5,0,,,,,,,05.10.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Osasuna,1,64,4,2,2,0,8,2,0,2,8,3,,,,,,,cat2,https://www.flashscore.com/match/40FWnYcm/#/match-summary/match-statistics/2
165,05.10.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Getafe,1,44,1,1,0,0,2,0,1,0,12,2,,,,,,,05.10.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Osasuna,0,56,2,0,2,0,15,0,0,0,2,1,,,,,,,cat3,https://www.flashscore.com/match/40FWnYcm/#/match-summary/match-statistics/1
166,05.10.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Valladolid,1,42,9,4,2,3,9,3,0,0,4,2,,,,,,,05.10.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Rayo Vallecano,2,58,8,2,5,1,5,8,0,3,9,2,,,,,,,cat4,https://www.flashscore.com/match/EB22wLQj/#/match-summary/match-statistics/2
167,05.10.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Valladolid,0,36,4,1,3,0,13,2,1,1,9,2,,,,,,,05.10.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Rayo Vallecano,0,64,9,1,4,4,11,5,2,1,9,0,,,,,,,cat5,https://www.flashscore.com/match/EB22wLQj/#/match-summary/match-statistics/1
168,05.10.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Las Palmas,0,79,20,2,14,4,13,8,1,0,6,2,0,,,,,,05.10.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Celta Vigo,0,21,5,0,3,2,8,0,0,2,8,6,2,,,,,,cat6,https://www.flashscore.com/match/KApUeTtI/#/match-summary/match-statistics/2
169,05.10.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Las Palmas,0,43,4,3,1,0,6,3,0,0,3,1,,,,,,,05.10.2024 18:30,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Celta Vigo,1,57,3,1,2,0,3,2,2,3,5,2,,,,,,,cat7,https://www.flashscore.com/match/KApUeTtI/#/match-summary/match-statistics/1
170,05.10.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Real Madrid,1,56,2,0,1,1,4,0,1,0,4,,,,,,,,05.10.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Villarreal,0,44,6,0,5,1,6,2,1,0,3,,,,,,,,cat8,https://www.flashscore.com/match/CQIvoCSa/#/match-summary/match-statistics/2
171,05.10.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Real Madrid,1,54,9,2,4,3,10,2,0,1,3,0,,,,,,,05.10.2024 21:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Villarreal,0,46,6,1,3,2,3,3,2,1,8,1,,,,,,,cat9,https://www.flashscore.com/match/CQIvoCSa/#/match-summary/match-statistics/1
172,06.10.2024 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Girona,1,80,8,4,3,1,8,4,2,0,7,3,0,,,,,,06.10.2024 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Ath Bilbao,0,20,6,0,3,3,9,1,0,3,8,2,1,,,,,,cat10,https://www.flashscore.com/match/4Ef51XCt/#/match-summary/match-statistics/2
173,06.10.2024 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Girona,1,52,6,2,2,2,3,2,1,3,5,1,,,,,,,06.10.2024 14:00,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Ath Bilbao,1,48,7,4,3,0,5,0,0,1,5,1,,,,,,,cat11,https://www.flashscore.com/match/4Ef51XCt/#/match-summary/match-statistics/1
174,06.10.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Alaves,0,22,7,2,3,2,7,6,7,3,7,1,,,,,,,06.10.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Barcelona,0,78,7,3,3,1,14,2,2,2,5,2,,,,,,,cat12,https://www.flashscore.com/match/hzRnqjcC/#/match-summary/match-statistics/2
175,06.10.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Alaves,0,32,4,0,2,2,6,5,4,3,6,1,,,,,,,06.10.2024 16:15,"FOOTBALL
SPAIN: LALIGA - ROUND 9",Barcelona,3,68,8,6,1,1,13,1,1,0,3,0,,,,,,,cat13,https://www.flashscore.com/match/hzRnqjcC/#/match-summary/match-statistics/1
