,TEAMS,GOALS,xG,SHOTS,SHOTS ON TARGET,DEEP,PPDA,xPTS,A_TEAMS,A_GOALS,A_xG,A_SHOTS,A_SHOTS ON TARGET,A_DEEP,A_PPDA,A_xPTS
291,Sassuolo,4,2.66,13,8,9,11.33,2.36,Sampdoria,1,1.24,11,4,8,18.63,0.46
292,Sampdoria,1,1.84,17,7,3,8.77,2.61,Torino,0,0.22,5,1,2,4.30,0.24
293,Sampdoria,1,1.31,20,2,5,10.30,0.76,Inter,3,2.17,15,7,8,7.89,2.02
294,Sampdoria,1,1.64,24,7,6,6.67,1.82,Lecce,1,1.06,12,5,9,10.24,0.91
295,SPAL 2013,0,0.50,14,3,1,7.35,0.91,Sampdoria,1,0.86,17,5,3,9.39,1.72
296,Sampdoria,0,0.89,10,2,2,12.82,1.69,Atalanta,0,0.52,9,3,4,7.82,0.93
297,Cagliari,4,0.69,17,7,5,6.77,0.73,Sampdoria,3,1.33,12,5,5,13.76,1.98
298,Sampdoria,5,3.22,28,10,6,11.75,2.66,Brescia,1,1.01,11,4,2,15.79,0.24
299,Lazio,5,4.87,16,8,12,9.67,2.99,Sampdoria,1,0.51,9,4,3,19.43,0.01
300,Sampdoria,0,1.34,25,3,21,7.40,2.20,Sassuolo,0,0.34,8,1,3,13.59,0.53
301,Torino,1,0.60,6,2,2,9.10,0.34,Sampdoria,3,1.99,15,5,6,7.12,2.48
302,Inter,2,2.50,18,4,13,4.58,2.68,Sampdoria,1,0.54,7,2,1,14.48,0.21
303,Lecce,1,1.75,15,6,2,14.07,1.20,Sampdoria,2,1.89,13,4,6,17.21,1.49
304,Sampdoria,3,1.13,12,5,3,15.56,1.25,SPAL 2013,0,1.27,16,3,19,10.59,1.46
305,Atalanta,2,0.81,12,6,6,6.83,0.97,Sampdoria,0,1.15,13,3,2,9.84,1.71
306,Sampdoria,3,1.61,11,4,6,17.06,2.31,Cagliari,0,0.50,15,2,4,17.33,0.47
307,Brescia,1,1.66,16,4,6,11.70,1.12,Sampdoria,1,1.95,18,5,4,10.36,1.60
308,SPAL 2013,2,1.10,17,3,8,21.83,1.03,Lazio,1,1.46,12,5,12,14.06,1.67
309,Inter,1,1.74,15,3,3,5.43,1.64,Lazio,0,1.36,10,4,11,18.63,1.10
310,Lazio,3,2.70,17,5,6,10.31,1.48,Atalanta,3,2.57,22,9,7,8.57,1.30
311,Lazio,4,2.30,20,8,9,13.53,2.50,Torino,0,0.71,10,2,1,15.21,0.34
312,Lazio,4,3.65,24,7,12,17.23,2.06,Lecce,2,2.56,19,10,10,14.81,0.76
313,Sassuolo,1,1.38,12,1,8,13.81,1.79,Lazio,2,0.94,16,6,14,16.70,0.91
314,Cagliari,1,1.66,13,3,4,15.65,1.10,Lazio,2,2.06,16,5,8,8.45,1.66
315,Brescia,1,0.31,6,3,3,14.94,0.26,Lazio,2,1.75,19,6,20,5.43,2.59
316,Lazio,5,2.74,15,8,15,10.61,2.61,SPAL 2013,1,0.83,14,4,7,12.88,0.27
317,Lazio,2,1.58,11,6,7,13.48,2.22,Inter,1,0.64,10,4,5,18.00,0.55
318,Atalanta,3,2.26,24,7,17,6.97,2.50,Lazio,2,0.66,6,3,4,15.06,0.35
319,Torino,1,0.92,5,1,1,13.13,1.43,Lazio,2,0.90,16,5,7,7.64,1.21
320,Lecce,2,3.02,15,3,5,23.54,2.09,Lazio,1,1.97,22,10,11,13.31,0.73
321,Lazio,1,0.67,10,1,5,16.29,0.53,Sassuolo,2,1.83,18,3,6,9.20,2.26
322,Lazio,2,1.47,19,11,15,7.14,1.91,Cagliari,1,0.77,8,4,6,16.88,0.80
323,Lazio,2,3.91,29,13,21,7.80,2.84,Brescia,0,0.79,13,2,9,20.20,0.11
324,SPAL 2013,2,1.48,9,3,4,12.86,1.22,Atalanta,3,1.70,21,13,5,6.07,1.51
325,Sassuolo,3,2.01,20,6,9,11.29,2.15,SPAL 2013,0,0.92,13,3,7,12.83,0.62
326,SPAL 2013,1,0.92,18,6,5,10.89,0.55,Lecce,3,1.89,8,4,3,25.10,2.23
327,Cagliari,2,1.15,16,5,3,10.00,1.55,SPAL 2013,0,0.92,12,5,4,9.88,1.14
328,Inter,2,2.14,19,8,9,8.67,2.09,SPAL 2013,1,1.15,12,3,4,19.81,0.70
329,SPAL 2013,0,1.92,19,3,7,7.77,1.31,Brescia,1,1.91,12,6,4,13.48,1.40
330,Torino,1,1.24,14,6,9,5.57,1.61,SPAL 2013,2,0.95,12,4,6,5.03,1.09
331,Atalanta,1,2.45,21,5,13,6.23,2.23,SPAL 2013,2,1.21,15,5,4,10.85,0.58
332,SPAL 2013,1,1.59,11,3,6,13.24,0.91,Sassuolo,2,2.23,22,9,9,9.08,1.83
333,Lecce,2,1.60,12,4,2,12.44,1.58,SPAL 2013,1,1.36,22,5,7,7.13,1.15
334,SPAL 2013,0,1.10,11,3,5,6.76,0.88,Cagliari,1,1.54,15,4,2,17.07,1.74
335,SPAL 2013,0,0.81,12,0,7,15.68,0.29,Inter,4,2.53,16,6,8,9.69,2.57
336,Brescia,2,1.62,17,3,11,12.79,1.36,SPAL 2013,1,1.58,15,6,9,10.94,1.36
337,SPAL 2013,1,0.38,7,1,7,11.12,0.43,Torino,1,1.56,20,6,10,9.42,2.35
338,Atalanta,2,1.83,26,9,9,4.63,2.21,Torino,3,0.68,10,5,3,6.12,0.57
339,Sassuolo,1,0.44,13,7,5,16.25,0.19,Atalanta,4,2.43,13,7,7,14.64,2.71
340,Atalanta,3,4.39,30,15,12,6.41,2.86,Lecce,1,1.00,7,2,6,20.79,0.09
341,Atalanta,0,0.76,19,3,7,10.33,1.01,Cagliari,2,1.11,13,5,4,10.15,1.67
342,Brescia,0,1.21,15,4,4,11.75,0.53,Atalanta,3,2.67,24,10,12,5.15,2.30
343,Inter,1,0.73,10,5,2,14.40,0.23,Atalanta,1,2.54,17,6,7,8.00,2.66
344,Torino,0,0.54,11,4,1,8.27,0.01,Atalanta,7,5.35,26,14,19,7.32,2.99
345,Lecce,2,0.34,9,3,5,16.90,0.00,Atalanta,7,5.41,25,10,20,6.60,3.00
346,Atalanta,4,3.17,13,4,10,9.21,1.81,Sassuolo,1,2.51,14,5,5,11.90,1.00
